,Count,Generation,Sex,Run
24,4919,24,Female,mc_prob_0_FC_0_2
25,4998,25,Female,mc_prob_0_FC_0_2
26,4943,26,Female,mc_prob_0_FC_0_2
27,4830,27,Female,mc_prob_0_FC_0_2
28,4853,28,Female,mc_prob_0_FC_0_2
29,5001,29,Female,mc_prob_0_FC_0_2
30,4940,30,Female,mc_prob_0_FC_0_2
31,5012,31,Female,mc_prob_0_FC_0_2
32,4951,32,Female,mc_prob_0_FC_0_2
33,4986,33,Female,mc_prob_0_FC_0_2
34,5020,34,Female,mc_prob_0_FC_0_2
35,4986,35,Female,mc_prob_0_FC_0_2
36,4810,36,Female,mc_prob_0_FC_0_2
37,4783,37,Female,mc_prob_0_FC_0_2
38,4870,38,Female,mc_prob_0_FC_0_2
39,4809,39,Female,mc_prob_0_FC_0_2
40,4861,40,Female,mc_prob_0_FC_0_2
41,4894,41,Female,mc_prob_0_FC_0_2
42,5022,42,Female,mc_prob_0_FC_0_2
43,4990,43,Female,mc_prob_0_FC_0_2
44,4980,44,Female,mc_prob_0_FC_0_2
45,4885,45,Female,mc_prob_0_FC_0_2
46,4914,46,Female,mc_prob_0_FC_0_2
47,4896,47,Female,mc_prob_0_FC_0_2
48,5041,48,Female,mc_prob_0_FC_0_2
49,5046,49,Female,mc_prob_0_FC_0_2
50,4830,50,Female,mc_prob_0_FC_0_2
51,6000,0,Male,mc_prob_0_FC_0_2
52,4712,1,Male,mc_prob_0_FC_0_2
53,4550,2,Male,mc_prob_0_FC_0_2
54,4611,3,Male,mc_prob_0_FC_0_2
55,4680,4,Male,mc_prob_0_FC_0_2
56,4451,5,Male,mc_prob_0_FC_0_2
57,4425,6,Male,mc_prob_0_FC_0_2
58,4331,7,Male,mc_prob_0_FC_0_2
59,4203,8,Male,mc_prob_0_FC_0_2
60,4167,9,Male,mc_prob_0_FC_0_2
61,3894,10,Male,mc_prob_0_FC_0_2
62,3776,11,Male,mc_prob_0_FC_0_2
63,3652,12,Male,mc_prob_0_FC_0_2
64,3690,13,Male,mc_prob_0_FC_0_2
65,3684,14,Male,mc_prob_0_FC_0_2
66,4001,15,Male,mc_prob_0_FC_0_2
67,4632,16,Male,mc_prob_0_FC_0_2
68,4931,17,Male,mc_prob_0_FC_0_2
69,5023,18,Male,mc_prob_0_FC_0_2
70,5165,19,Male,mc_prob_0_FC_0_2
71,5025,20,Male,mc_prob_0_FC_0_2
72,5108,21,Male,mc_prob_0_FC_0_2
73,5032,22,Male,mc_prob_0_FC_0_2
74,4924,23,Male,mc_prob_0_FC_0_2
75,4946,24,Male,mc_prob_0_FC_0_2
76,5105,25,Male,mc_prob_0_FC_0_2
77,5053,26,Male,mc_prob_0_FC_0_2
78,5043,27,Male,mc_prob_0_FC_0_2
79,4865,28,Male,mc_prob_0_FC_0_2
80,5068,29,Male,mc_prob_0_FC_0_2
81,4979,30,Male,mc_prob_0_FC_0_2
82,5039,31,Male,mc_prob_0_FC_0_2
83,4998,32,Male,mc_prob_0_FC_0_2
84,5025,33,Male,mc_prob_0_FC_0_2
85,5067,34,Male,mc_prob_0_FC_0_2
86,5025,35,Male,mc_prob_0_FC_0_2
87,4960,36,Male,mc_prob_0_FC_0_2
88,4828,37,Male,mc_prob_0_FC_0_2
89,5041,38,Male,mc_prob_0_FC_0_2
90,4929,39,Male,mc_prob_0_FC_0_2
91,5022,40,Male,mc_prob_0_FC_0_2
92,4913,41,Male,mc_prob_0_FC_0_2
93,5138,42,Male,mc_prob_0_FC_0_2
94,4998,43,Male,mc_prob_0_FC_0_2
95,5079,44,Male,mc_prob_0_FC_0_2
96,5004,45,Male,mc_prob_0_FC_0_2
97,4954,46,Male,mc_prob_0_FC_0_2
98,4922,47,Male,mc_prob_0_FC_0_2
99,5050,48,Male,mc_prob_0_FC_0_2
100,5169,49,Male,mc_prob_0_FC_0_2
101,4984,50,Male,mc_prob_0_FC_0_2
,Count,Generation,Sex,Run
0,5000,0,Female,mc_prob_0_FC_0_3
1,4592,1,Female,mc_prob_0_FC_0_3
2,4624,2,Female,mc_prob_0_FC_0_3
3,4576,3,Female,mc_prob_0_FC_0_3
4,4542,4,Female,mc_prob_0_FC_0_3
5,4415,5,Female,mc_prob_0_FC_0_3
6,4358,6,Female,mc_prob_0_FC_0_3
7,4230,7,Female,mc_prob_0_FC_0_3
8,4307,8,Female,mc_prob_0_FC_0_3
9,4219,9,Female,mc_prob_0_FC_0_3
10,4085,10,Female,mc_prob_0_FC_0_3
11,3975,11,Female,mc_prob_0_FC_0_3
12,3764,12,Female,mc_prob_0_FC_0_3
13,3648,13,Female,mc_prob_0_FC_0_3
14,3608,14,Female,mc_prob_0_FC_0_3
15,3634,15,Female,mc_prob_0_FC_0_3
16,4050,16,Female,mc_prob_0_FC_0_3
17,4756,17,Female,mc_prob_0_FC_0_3
18,4966,18,Female,mc_prob_0_FC_0_3
19,4961,19,Female,mc_prob_0_FC_0_3
20,5067,20,Female,mc_prob_0_FC_0_3
21,4995,21,Female,mc_prob_0_FC_0_3
22,4949,22,Female,mc_prob_0_FC_0_3
23,4904,23,Female,mc_prob_0_FC_0_3
24,4852,24,Female,mc_prob_0_FC_0_3
25,4931,25,Female,mc_prob_0_FC_0_3
26,5126,26,Female,mc_prob_0_FC_0_3
27,5076,27,Female,mc_prob_0_FC_0_3
28,4936,28,Female,mc_prob_0_FC_0_3
29,4983,29,Female,mc_prob_0_FC_0_3
30,4922,30,Female,mc_prob_0_FC_0_3
31,4959,31,Female,mc_prob_0_FC_0_3
32,4887,32,Female,mc_prob_0_FC_0_3
33,4966,33,Female,mc_prob_0_FC_0_3
34,5006,34,Female,mc_prob_0_FC_0_3
35,4945,35,Female,mc_prob_0_FC_0_3
36,4879,36,Female,mc_prob_0_FC_0_3
37,4854,37,Female,mc_prob_0_FC_0_3
38,4842,38,Female,mc_prob_0_FC_0_3
39,5012,39,Female,mc_prob_0_FC_0_3
40,4924,40,Female,mc_prob_0_FC_0_3
41,4935,41,Female,mc_prob_0_FC_0_3
42,4950,42,Female,mc_prob_0_FC_0_3
43,5005,43,Female,mc_prob_0_FC_0_3
44,4979,44,Female,mc_prob_0_FC_0_3
45,5001,45,Female,mc_prob_0_FC_0_3
46,5002,46,Female,mc_prob_0_FC_0_3
47,5115,47,Female,mc_prob_0_FC_0_3
48,5067,48,Female,mc_prob_0_FC_0_3
49,5073,49,Female,mc_prob_0_FC_0_3
50,5014,50,Female,mc_prob_0_FC_0_3
51,6000,0,Male,mc_prob_0_FC_0_3
52,4614,1,Male,mc_prob_0_FC_0_3
53,4634,2,Male,mc_prob_0_FC_0_3
54,4634,3,Male,mc_prob_0_FC_0_3
55,4558,4,Male,mc_prob_0_FC_0_3
56,4439,5,Male,mc_prob_0_FC_0_3
57,4454,6,Male,mc_prob_0_FC_0_3
58,4302,7,Male,mc_prob_0_FC_0_3
59,4317,8,Male,mc_prob_0_FC_0_3
60,4239,9,Male,mc_prob_0_FC_0_3
61,4085,10,Male,mc_prob_0_FC_0_3
62,3997,11,Male,mc_prob_0_FC_0_3
63,3914,12,Male,mc_prob_0_FC_0_3
64,3694,13,Male,mc_prob_0_FC_0_3
65,3609,14,Male,mc_prob_0_FC_0_3
66,3751,15,Male,mc_prob_0_FC_0_3
67,4086,16,Male,mc_prob_0_FC_0_3
68,4759,17,Male,mc_prob_0_FC_0_3
69,4984,18,Male,mc_prob_0_FC_0_3
70,5018,19,Male,mc_prob_0_FC_0_3
71,5108,20,Male,mc_prob_0_FC_0_3
72,5051,21,Male,mc_prob_0_FC_0_3
73,4985,22,Male,mc_prob_0_FC_0_3
74,5067,23,Male,mc_prob_0_FC_0_3
75,4880,24,Male,mc_prob_0_FC_0_3
76,4943,25,Male,mc_prob_0_FC_0_3
77,5169,26,Male,mc_prob_0_FC_0_3
78,5157,27,Male,mc_prob_0_FC_0_3
79,5047,28,Male,mc_prob_0_FC_0_3
80,5017,29,Male,mc_prob_0_FC_0_3
81,5070,30,Male,mc_prob_0_FC_0_3
82,5073,31,Male,mc_prob_0_FC_0_3
83,4970,32,Male,mc_prob_0_FC_0_3
84,4982,33,Male,mc_prob_0_FC_0_3
85,5055,34,Male,mc_prob_0_FC_0_3
86,5050,35,Male,mc_prob_0_FC_0_3
87,4921,36,Male,mc_prob_0_FC_0_3
88,4955,37,Male,mc_prob_0_FC_0_3
89,4881,38,Male,mc_prob_0_FC_0_3
90,5095,39,Male,mc_prob_0_FC_0_3
91,5051,40,Male,mc_prob_0_FC_0_3
92,4989,41,Male,mc_prob_0_FC_0_3
93,4964,42,Male,mc_prob_0_FC_0_3
94,5072,43,Male,mc_prob_0_FC_0_3
95,5015,44,Male,mc_prob_0_FC_0_3
96,5064,45,Male,mc_prob_0_FC_0_3
97,5039,46,Male,mc_prob_0_FC_0_3
98,5115,47,Male,mc_prob_0_FC_0_3
99,5077,48,Male,mc_prob_0_FC_0_3
100,5074,49,Male,mc_prob_0_FC_0_3
101,5136,50,Male,mc_prob_0_FC_0_3
,Count,Generation,Sex,Run
0,5000,0,Female,mc_prob_0_FC_0_4
1,4610,1,Female,mc_prob_0_FC_0_4
2,4473,2,Female,mc_prob_0_FC_0_4
3,4408,3,Female,mc_prob_0_FC_0_4
4,4415,4,Female,mc_prob_0_FC_0_4
5,4353,5,Female,mc_prob_0_FC_0_4
6,4361,6,Female,mc_prob_0_FC_0_4
7,4237,7,Female,mc_prob_0_FC_0_4
8,4058,8,Female,mc_prob_0_FC_0_4
9,3959,9,Female,mc_prob_0_FC_0_4
10,3808,10,Female,mc_prob_0_FC_0_4
11,3756,11,Female,mc_prob_0_FC_0_4
12,3713,12,Female,mc_prob_0_FC_0_4
13,3522,13,Female,mc_prob_0_FC_0_4
14,3464,14,Female,mc_prob_0_FC_0_4
15,3905,15,Female,mc_prob_0_FC_0_4
16,4501,16,Female,mc_prob_0_FC_0_4
17,4753,17,Female,mc_prob_0_FC_0_4
18,4926,18,Female,mc_prob_0_FC_0_4
19,5003,19,Female,mc_prob_0_FC_0_4
20,4981,20,Female,mc_prob_0_FC_0_4
21,4962,21,Female,mc_prob_0_FC_0_4
22,4939,22,Female,mc_prob_0_FC_0_4
23,5001,23,Female,mc_prob_0_FC_0_4
24,4974,24,Female,mc_prob_0_FC_0_4
25,4848,25,Female,mc_prob_0_FC_0_4
26,4942,26,Female,mc_prob_0_FC_0_4
27,5041,27,Female,mc_prob_0_FC_0_4
28,4929,28,Female,mc_prob_0_FC_0_4
29,4844,29,Female,mc_prob_0_FC_0_4
30,4820,30,Female,mc_prob_0_FC_0_4
31,4834,31,Female,mc_prob_0_FC_0_4
32,5016,32,Female,mc_prob_0_FC_0_4
33,5039,33,Female,mc_prob_0_FC_0_4
34,4975,34,Female,mc_prob_0_FC_0_4
35,4866,35,Female,mc_prob_0_FC_0_4
36,4932,36,Female,mc_prob_0_FC_0_4
37,4861,37,Female,mc_prob_0_FC_0_4
38,4974,38,Female,mc_prob_0_FC_0_4
39,4908,39,Female,mc_prob_0_FC_0_4
40,4732,40,Female,mc_prob_0_FC_0_4
41,4784,41,Female,mc_prob_0_FC_0_4
42,4957,42,Female,mc_prob_0_FC_0_4
43,4904,43,Female,mc_prob_0_FC_0_4
44,4833,44,Female,mc_prob_0_FC_0_4
45,4886,45,Female,mc_prob_0_FC_0_4
46,5051,46,Female,mc_prob_0_FC_0_4
47,4960,47,Female,mc_prob_0_FC_0_4
48,4972,48,Female,mc_prob_0_FC_0_4
49,4982,49,Female,mc_prob_0_FC_0_4
50,5106,50,Female,mc_prob_0_FC_0_4
51,6000,0,Male,mc_prob_0_FC_0_4
52,4623,1,Male,mc_prob_0_FC_0_4
53,4613,2,Male,mc_prob_0_FC_0_4
54,4463,3,Male,mc_prob_0_FC_0_4
55,4502,4,Male,mc_prob_0_FC_0_4
56,4416,5,Male,mc_prob_0_FC_0_4
57,4440,6,Male,mc_prob_0_FC_0_4
58,4309,7,Male,mc_prob_0_FC_0_4
59,4293,8,Male,mc_prob_0_FC_0_4
60,4138,9,Male,mc_prob_0_FC_0_4
61,3936,10,Male,mc_prob_0_FC_0_4
62,3803,11,Male,mc_prob_0_FC_0_4
63,3770,12,Male,mc_prob_0_FC_0_4
64,3582,13,Male,mc_prob_0_FC_0_4
65,3543,14,Male,mc_prob_0_FC_0_4
66,3981,15,Male,mc_prob_0_FC_0_4
67,4590,16,Male,mc_prob_0_FC_0_4
68,4905,17,Male,mc_prob_0_FC_0_4
69,4971,18,Male,mc_prob_0_FC_0_4
70,5025,19,Male,mc_prob_0_FC_0_4
71,5023,20,Male,mc_prob_0_FC_0_4
72,5088,21,Male,mc_prob_0_FC_0_4
73,4960,22,Male,mc_prob_0_FC_0_4
74,5016,23,Male,mc_prob_0_FC_0_4
75,5107,24,Male,mc_prob_0_FC_0_4
76,4911,25,Male,mc_prob_0_FC_0_4
77,5068,26,Male,mc_prob_0_FC_0_4
78,5099,27,Male,mc_prob_0_FC_0_4
79,5000,28,Male,mc_prob_0_FC_0_4
80,4917,29,Male,mc_prob_0_FC_0_4
81,4889,30,Male,mc_prob_0_FC_0_4
82,4945,31,Male,mc_prob_0_FC_0_4
83,5031,32,Male,mc_prob_0_FC_0_4
84,5070,33,Male,mc_prob_0_FC_0_4
85,5071,34,Male,mc_prob_0_FC_0_4
86,5048,35,Male,mc_prob_0_FC_0_4
87,5004,36,Male,mc_prob_0_FC_0_4
88,4908,37,Male,mc_prob_0_FC_0_4
89,5120,38,Male,mc_prob_0_FC_0_4
90,4952,39,Male,mc_prob_0_FC_0_4
91,4953,40,Male,mc_prob_0_FC_0_4
92,4841,41,Male,mc_prob_0_FC_0_4
93,5006,42,Male,mc_prob_0_FC_0_4
94,4942,43,Male,mc_prob_0_FC_0_4
95,5019,44,Male,mc_prob_0_FC_0_4
96,4958,45,Male,mc_prob_0_FC_0_4
97,5072,46,Male,mc_prob_0_FC_0_4
98,5026,47,Male,mc_prob_0_FC_0_4
99,5018,48,Male,mc_prob_0_FC_0_4
100,5019,49,Male,mc_prob_0_FC_0_4
101,5175,50,Male,mc_prob_0_FC_0_4
,Count,Generation,Sex,Run
0,5000,0,Female,mc_prob_0_FC_0_5
1,4715,1,Female,mc_prob_0_FC_0_5
2,4543,2,Female,mc_prob_0_FC_0_5
3,4557,3,Female,mc_prob_0_FC_0_5
4,4358,4,Female,mc_prob_0_FC_0_5
5,4364,5,Female,mc_prob_0_FC_0_5
6,4317,6,Female,mc_prob_0_FC_0_5
7,4285,7,Female,mc_prob_0_FC_0_5
8,4112,8,Female,mc_prob_0_FC_0_5
9,4002,9,Female,mc_prob_0_FC_0_5
10,3746,10,Female,mc_prob_0_FC_0_5
11,3696,11,Female,mc_prob_0_FC_0_5
12,3685,12,Female,mc_prob_0_FC_0_5
13,3521,13,Female,mc_prob_0_FC_0_5
14,3679,14,Female,mc_prob_0_FC_0_5
15,4219,15,Female,mc_prob_0_FC_0_5
16,4611,16,Female,mc_prob_0_FC_0_5
17,4984,17,Female,mc_prob_0_FC_0_5
18,5031,18,Female,mc_prob_0_FC_0_5
19,4995,19,Female,mc_prob_0_FC_0_5
20,5020,20,Female,mc_prob_0_FC_0_5
21,5198,21,Female,mc_prob_0_FC_0_5
22,5046,22,Female,mc_prob_0_FC_0_5
23,5019,23,Female,mc_prob_0_FC_0_5
24,5052,24,Female,mc_prob_0_FC_0_5
25,4903,25,Female,mc_prob_0_FC_0_5
26,4786,26,Female,mc_prob_0_FC_0_5
27,4841,27,Female,mc_prob_0_FC_0_5
28,4972,28,Female,mc_prob_0_FC_0_5
29,4997,29,Female,mc_prob_0_FC_0_5
30,5069,30,Female,mc_prob_0_FC_0_5
31,4897,31,Female,mc_prob_0_FC_0_5
32,4963,32,Female,mc_prob_0_FC_0_5
33,5080,33,Female,mc_prob_0_FC_0_5
34,5067,34,Female,mc_prob_0_FC_0_5
35,5030,35,Female,mc_prob_0_FC_0_5
36,5023,36,Female,mc_prob_0_FC_0_5
37,4854,37,Female,mc_prob_0_FC_0_5
38,4824,38,Female,mc_prob_0_FC_0_5
39,4946,39,Female,mc_prob_0_FC_0_5
40,5069,40,Female,mc_prob_0_FC_0_5
41,4993,41,Female,mc_prob_0_FC_0_5
42,5013,42,Female,mc_prob_0_FC_0_5
43,5058,43,Female,mc_prob_0_FC_0_5
44,5025,44,Female,mc_prob_0_FC_0_5
45,5052,45,Female,mc_prob_0_FC_0_5
46,4909,46,Female,mc_prob_0_FC_0_5
47,4855,47,Female,mc_prob_0_FC_0_5
48,4941,48,Female,mc_prob_0_FC_0_5
49,4899,49,Female,mc_prob_0_FC_0_5
50,4832,50,Female,mc_prob_0_FC_0_5
51,6000,0,Male,mc_prob_0_FC_0_5
52,4767,1,Male,mc_prob_0_FC_0_5
53,4567,2,Male,mc_prob_0_FC_0_5
54,4611,3,Male,mc_prob_0_FC_0_5
55,4380,4,Male,mc_prob_0_FC_0_5
56,4392,5,Male,mc_prob_0_FC_0_5
57,4341,6,Male,mc_prob_0_FC_0_5
58,4358,7,Male,mc_prob_0_FC_0_5
59,4199,8,Male,mc_prob_0_FC_0_5
60,4083,9,Male,mc_prob_0_FC_0_5
61,3916,10,Male,mc_prob_0_FC_0_5
62,3737,11,Male,mc_prob_0_FC_0_5
63,3729,12,Male,mc_prob_0_FC_0_5
64,3611,13,Male,mc_prob_0_FC_0_5
65,3761,14,Male,mc_prob_0_FC_0_5
66,4219,15,Male,mc_prob_0_FC_0_5
67,4905,16,Male,mc_prob_0_FC_0_5
68,4988,17,Male,mc_prob_0_FC_0_5
69,5032,18,Male,mc_prob_0_FC_0_5
70,5096,19,Male,mc_prob_0_FC_0_5
71,5051,20,Male,mc_prob_0_FC_0_5
72,5235,21,Male,mc_prob_0_FC_0_5
73,5082,22,Male,mc_prob_0_FC_0_5
74,5065,23,Male,mc_prob_0_FC_0_5
75,5128,24,Male,mc_prob_0_FC_0_5
76,4919,25,Male,mc_prob_0_FC_0_5
77,4992,26,Male,mc_prob_0_FC_0_5
78,4855,27,Male,mc_prob_0_FC_0_5
79,5117,28,Male,mc_prob_0_FC_0_5
80,5059,29,Male,mc_prob_0_FC_0_5
81,5157,30,Male,mc_prob_0_FC_0_5
82,5058,31,Male,mc_prob_0_FC_0_5
83,4994,32,Male,mc_prob_0_FC_0_5
84,5119,33,Male,mc_prob_0_FC_0_5
85,5138,34,Male,mc_prob_0_FC_0_5
86,5144,35,Male,mc_prob_0_FC_0_5
87,5033,36,Male,mc_prob_0_FC_0_5
88,4981,37,Male,mc_prob_0_FC_0_5
89,4848,38,Male,mc_prob_0_FC_0_5
90,4958,39,Male,mc_prob_0_FC_0_5
91,5107,40,Male,mc_prob_0_FC_0_5
92,5070,41,Male,mc_prob_0_FC_0_5
93,5041,42,Male,mc_prob_0_FC_0_5
94,5091,43,Male,mc_prob_0_FC_0_5
95,5081,44,Male,mc_prob_0_FC_0_5
96,5126,45,Male,mc_prob_0_FC_0_5
97,5012,46,Male,mc_prob_0_FC_0_5
98,4962,47,Male,mc_prob_0_FC_0_5
99,4978,48,Male,mc_prob_0_FC_0_5
100,4994,49,Male,mc_prob_0_FC_0_5
101,4958,50,Male,mc_prob_0_FC_0_5
,Count,Generation,Sex,Run
0,5000,0,Female,mc_prob_0_FC_0_6
1,4557,1,Female,mc_prob_0_FC_0_6
2,4393,2,Female,mc_prob_0_FC_0_6
3,4491,3,Female,mc_prob_0_FC_0_6
4,4384,4,Female,mc_prob_0_FC_0_6
5,4433,5,Female,mc_prob_0_FC_0_6
6,4332,6,Female,mc_prob_0_FC_0_6
7,4362,7,Female,mc_prob_0_FC_0_6
8,4150,8,Female,mc_prob_0_FC_0_6
9,4062,9,Female,mc_prob_0_FC_0_6
10,3998,10,Female,mc_prob_0_FC_0_6
11,4039,11,Female,mc_prob_0_FC_0_6
12,3929,12,Female,mc_prob_0_FC_0_6
13,3668,13,Female,mc_prob_0_FC_0_6
14,3496,14,Female,mc_prob_0_FC_0_6
15,3710,15,Female,mc_prob_0_FC_0_6
16,3850,16,Female,mc_prob_0_FC_0_6
17,4455,17,Female,mc_prob_0_FC_0_6
18,4787,18,Female,mc_prob_0_FC_0_6
19,4938,19,Female,mc_prob_0_FC_0_6
20,5063,20,Female,mc_prob_0_FC_0_6
21,4979,21,Female,mc_prob_0_FC_0_6
22,4935,22,Female,mc_prob_0_FC_0_6
23,4883,23,Female,mc_prob_0_FC_0_6
24,4919,24,Female,mc_prob_0_FC_0_6
25,5024,25,Female,mc_prob_0_FC_0_6
26,4940,26,Female,mc_prob_0_FC_0_6
27,4871,27,Female,mc_prob_0_FC_0_6
28,4952,28,Female,mc_prob_0_FC_0_6
29,5106,29,Female,mc_prob_0_FC_0_6
30,5037,30,Female,mc_prob_0_FC_0_6
31,4969,31,Female,mc_prob_0_FC_0_6
32,4854,32,Female,mc_prob_0_FC_0_6
33,4733,33,Female,mc_prob_0_FC_0_6
34,4826,34,Female,mc_prob_0_FC_0_6
35,4944,35,Female,mc_prob_0_FC_0_6
36,5053,36,Female,mc_prob_0_FC_0_6
37,4996,37,Female,mc_prob_0_FC_0_6
38,4751,38,Female,mc_prob_0_FC_0_6
39,4890,39,Female,mc_prob_0_FC_0_6
40,4805,40,Female,mc_prob_0_FC_0_6
41,4923,41,Female,mc_prob_0_FC_0_6
42,4879,42,Female,mc_prob_0_FC_0_6
43,4845,43,Female,mc_prob_0_FC_0_6
44,4776,44,Female,mc_prob_0_FC_0_6
